episode,reward,topology
864,71.0,topology_4host
865,77.0,topology_4host
866,107.0,topology_4host
867,34.0,topology_4host
868,48.0,topology_4host
869,66.0,topology_4host
870,132.0,topology_4host
871,95.0,topology_4host
872,109.0,topology_4host
873,95.0,topology_4host
874,83.0,topology_4host
875,77.0,topology_4host
876,113.0,topology_4host
877,90.0,topology_4host
878,63.0,topology_4host
879,128.0,topology_4host
880,132.0,topology_4host
881,116.0,topology_4host
882,94.0,topology_4host
883,87.0,topology_4host
884,94.0,topology_4host
885,63.0,topology_4host
886,101.0,topology_4host
887,100.0,topology_4host
888,117.0,topology_4host
889,107.0,topology_4host
890,134.0,topology_4host
891,56.0,topology_4host
892,130.0,topology_4host
893,105.0,topology_4host
894,91.0,topology_4host
895,106.0,topology_4host
896,87.0,topology_4host
897,126.0,topology_4host
898,40.0,topology_4host
899,59.0,topology_4host
900,116.0,topology_4host
901,97.0,topology_4host
902,92.0,topology_4host
903,130.0,topology_4host
904,143.0,topology_4host
905,91.0,topology_4host
906,95.0,topology_4host
907,139.0,topology_4host
908,100.0,topology_4host
909,134.0,topology_4host
910,125.0,topology_4host
911,136.0,topology_4host
912,114.0,topology_4host
913,110.0,topology_4host
914,120.0,topology_4host
915,70.0,topology_4host
916,118.0,topology_4host
917,115.0,topology_4host
918,101.0,topology_4host
919,69.0,topology_4host
920,63.0,topology_4host
921,123.0,topology_4host
922,154.0,topology_4host
923,27.0,topology_4host
924,103.0,topology_4host
925,139.0,topology_4host
926,113.0,topology_4host
927,63.0,topology_4host
928,104.0,topology_4host
929,73.0,topology_4host
930,125.0,topology_4host
931,85.0,topology_4host
932,84.0,topology_4host
933,79.0,topology_4host
934,124.0,topology_4host
935,83.0,topology_4host
936,112.0,topology_4host
937,145.0,topology_4host
938,97.0,topology_4host
939,102.0,topology_4host
940,110.0,topology_4host
941,131.0,topology_4host
942,137.0,topology_4host
943,93.0,topology_4host
944,21.0,topology_4host
945,109.0,topology_4host
946,130.0,topology_4host
947,42.0,topology_4host
948,90.0,topology_4host
949,114.0,topology_4host
950,106.0,topology_4host
951,106.0,topology_4host
952,92.0,topology_4host
953,76.0,topology_4host
954,74.0,topology_4host
955,90.0,topology_4host
956,79.0,topology_4host
957,116.0,topology_4host
958,95.0,topology_4host
959,92.0,topology_4host
960,128.0,topology_4host
961,113.0,topology_4host
962,104.0,topology_4host
963,175.0,topology_4host
964,136.0,topology_4host
965,124.0,topology_4host
966,59.0,topology_4host
967,94.0,topology_4host
968,117.0,topology_4host
969,93.0,topology_4host
970,100.0,topology_4host
971,59.0,topology_4host
972,84.0,topology_4host
973,75.0,topology_4host
974,104.0,topology_4host
975,134.0,topology_4host
976,-31.0,topology_4host
977,83.0,topology_4host
978,93.0,topology_4host
979,80.0,topology_4host
980,125.0,topology_4host
981,83.0,topology_4host
982,111.0,topology_4host
983,105.0,topology_4host
984,89.0,topology_4host
985,108.0,topology_4host
986,138.0,topology_4host
987,111.0,topology_4host
988,101.0,topology_4host
989,87.0,topology_4host
990,88.0,topology_4host
991,118.0,topology_4host
992,113.0,topology_4host
993,101.0,topology_4host
994,131.0,topology_4host
995,79.0,topology_4host
996,74.0,topology_4host
997,130.0,topology_4host
998,90.0,topology_4host
999,105.0,topology_4host
1000,72.0,topology_4host
1001,131.0,topology_4host
1002,88.0,topology_4host
1003,113.0,topology_4host
1004,86.0,topology_4host
1005,107.0,topology_4host
1006,89.0,topology_4host
1007,93.0,topology_4host
1008,101.0,topology_4host
1009,85.0,topology_4host
1010,110.0,topology_4host
1011,119.0,topology_4host
1012,76.0,topology_4host
1013,133.0,topology_4host
1014,102.0,topology_4host
1015,110.0,topology_4host
1016,105.0,topology_4host
1017,141.0,topology_4host
1018,99.0,topology_4host
1019,152.0,topology_4host
1020,85.0,topology_4host
1021,122.0,topology_4host
1022,144.0,topology_4host
1023,65.0,topology_4host
1024,87.0,topology_4host
1025,117.0,topology_4host
1026,93.0,topology_4host
1027,119.0,topology_4host
1028,45.0,topology_4host
1029,76.0,topology_4host
1030,118.0,topology_4host
1031,122.0,topology_4host
1032,123.0,topology_4host
1033,125.0,topology_4host
1034,121.0,topology_4host
1035,135.0,topology_4host
1036,111.0,topology_4host
1037,110.0,topology_4host
1038,117.0,topology_4host
1039,38.0,topology_4host
1040,105.0,topology_4host
1041,129.0,topology_4host
1042,97.0,topology_4host
1043,103.0,topology_4host
1044,86.0,topology_4host
1045,93.0,topology_4host
1046,62.0,topology_4host
1047,116.0,topology_4host
1048,142.0,topology_4host
1049,71.0,topology_4host
1050,119.0,topology_4host
1051,85.0,topology_4host
1052,88.0,topology_4host
1053,128.0,topology_4host
1054,106.0,topology_4host
1055,117.0,topology_4host
1056,108.0,topology_4host
1057,75.0,topology_4host
1058,118.0,topology_4host
1059,86.0,topology_4host
1060,128.0,topology_4host
1061,131.0,topology_4host
1062,166.0,topology_4host
1063,62.0,topology_4host
1064,101.0,topology_4host
1065,155.0,topology_4host
1066,110.0,topology_4host
1067,22.0,topology_4host
1068,77.0,topology_4host
1069,109.0,topology_4host
1070,112.0,topology_4host
1071,43.0,topology_4host
1072,85.0,topology_4host
1073,106.0,topology_4host
1074,121.0,topology_4host
1075,123.0,topology_4host
1076,80.0,topology_4host
1077,37.0,topology_4host
1078,135.0,topology_4host
1079,106.0,topology_4host
1080,42.0,topology_4host
1081,127.0,topology_4host
1082,112.0,topology_4host
1083,119.0,topology_4host
1084,114.0,topology_4host
1085,108.0,topology_4host
1086,125.0,topology_4host
1087,77.0,topology_4host
1088,120.0,topology_4host
1089,130.0,topology_4host
1090,109.0,topology_4host
1091,137.0,topology_4host
1092,47.0,topology_4host
1093,88.0,topology_4host
1094,90.0,topology_4host
1095,139.0,topology_4host
1096,121.0,topology_4host
1097,114.0,topology_4host
1098,103.0,topology_4host
1099,144.0,topology_4host
1100,134.0,topology_4host
1101,149.0,topology_4host
1102,131.0,topology_4host
1103,64.0,topology_4host
1104,120.0,topology_4host
1105,104.0,topology_4host
1106,149.0,topology_4host
1107,49.0,topology_4host
1108,104.0,topology_4host
1109,74.0,topology_4host
1110,124.0,topology_4host
1111,147.0,topology_4host
1112,130.0,topology_4host
1113,134.0,topology_4host
1114,76.0,topology_4host
1115,147.0,topology_4host
1116,22.0,topology_4host
1117,167.0,topology_4host
1118,137.0,topology_4host
1119,110.0,topology_4host
1120,124.0,topology_4host
1121,56.0,topology_4host
1122,113.0,topology_4host
1123,118.0,topology_4host
1124,90.0,topology_4host
1125,126.0,topology_4host
1126,69.0,topology_4host
1127,54.0,topology_4host
1128,118.0,topology_4host
1129,97.0,topology_4host
1130,115.0,topology_4host
1131,103.0,topology_4host
1132,93.0,topology_4host
1133,106.0,topology_4host
1134,128.0,topology_4host
1135,104.0,topology_4host
1136,137.0,topology_4host
1137,132.0,topology_4host
1138,140.0,topology_4host
1139,124.0,topology_4host
1140,88.0,topology_4host
